North-America
750,28
756,28
778,28
784,28
1344,117
1484,140
1551,162
1568,168
1612,190
1624,196
1780,285
1820,308
1842,330
1848,336
1870,358
1876,364
1988,476
2016,504
2016,526
2016,532
2016,554
2016,560
1993,739
1988,784
980,963
728,1008
369,1008
280,1008
235,985
224,980
156,935
140,924
50,812
28,784
28,560

East-Asia
178,1316
812,684
880,280
1200,88
1280,40
1344,72
1360,80
1424,1328
1440,1640
1440,1704
1440,1720
576,1688
360,1680
264,1616
240,1600
176,1536
160,1520
64,1360

South-America
720,320
784,160
800,120
864,56
880,40
912,40
920,40
952,40
960,40
992,40
1000,40
1128,72
1160,80
1224,112
1240,120
1304,152
1320,160
1384,192
1400,200
1720,392
1800,440
1800,472
1800,480
1800,512
1800,520
1800,1608
1800,1880
1128,1880
960,1880
864,1752
840,1720
744,696
720,440
720,344

Mid-Africa
14,238
114,92
140,56
576,22
686,14
697,14
700,14
722,14
728,14
739,14
742,14
954,70
1008,84
1008,95
1008,98
1008,109
1008,112
1008,123
1008,126
974,204
966,224
943,257
938,266
926,277
924,280
912,291
910,294
898,305
896,308
884,319
882,322
803,389
784,406
280,473
154,490
98,490
84,490
39,445
28,434
16,411
14,406
14,271

South-Africa
20,180
164,52
200,20
216,20
220,20
284,20
300,20
316,20
320,20
336,20
340,20
356,20
360,20
376,20
380,20
396,20
400,20
416,20
420,20
564,20
600,20
616,20
620,20
748,36
780,40
956,280
1000,340
1000,356
1000,360
1000,376
1000,380
984,428
980,440
964,472
960,480
944,512
940,520
924,536
920,540
472,684
360,720
248,736
220,740
188,724
180,720
116,608
100,580
36,452
20,420
20,228

Turkey
21,21
26,9
28,7
33,7
35,7
40,7
42,7
47,7
49,7
138,7
161,7
166,7
168,7
173,7
175,7
180,7
182,7
187,7
189,7
194,7
196,7
201,7
203,7
208,7
210,7
344,12
378,14
389,19
392,21
397,26
399,28
410,44
413,49
480,189
497,224
497,229
497,231
497,242
497,245
497,250
497,252
491,252
490,252
434,240
420,238
268,193
231,182
91,120
56,105
28,82
21,77
21,32

Zakavkazie
6,3
8,3
9,3
11,3
12,3
16,3
18,3
61,10
72,12
115,21
126,24
193,40
210,45
241,71
249,78
222,114
216,123
211,123
210,123
162,115
150,114
140,111
138,111
133,108
132,108
100,88
93,84
52,57
42,51
13,15
6,6
6,3

